G, 1, 2, T, 1, G, G, G, 1, 2, T, 1, 1, 1, 1, G, G, G, G, G
G, 2, T, 3, 1, G, G, G, 1, T, 2, 1, 1, T, 2, 2, 1, 1, G, G
G, 2, T, 2, G, G, 1, 1, 2, 1, 1, G, 1, 2, T, 2, T, 1, G, G
G, 1, 1, 1, G, G, 1, T, 1, G, G, G, G, 1, 1, 2, 1, 1, G, G
G, G, G, G, G, G, 1, 1, 1, G, G, G, G, 1, 2, 2, 1, G, G, G
G, G, G, G, G, G, G, G, G, G, G, G, G, 1, T, T, 1, G, G, G
G, G, G, G, G, G, 1, 1, 1, G, G, G, 1, 2, 3, 2, 1, G, G, G
G, G, G, G, 1, 1, 2, T, 2, 1, G, G, 1, T, 2, 1, 1, G, G, G
G, G, 1, 1, 2, T, 3, 4, T, 2, G, G, 1, 2, 3, T, 1, G, G, G
1, 1, 1, T, 2, 1, 2, T, T, 2, G, G, 1, 2, T, 2, 1, G, G, G
T, 1, 1, 1, 1, G, 1, 2, 3, 3, 2, 1, 2, T, 3, 1, G, G, G, G
1, 1, 1, 1, 2, 1, 1, G, 1, T, T, 1, 2, T, 3, 1, 1, G, G, G
G, G, 1, T, 2, T, 1, 1, 2, 3, 2, 1, 1, 1, 2, T, 1, G, G, G
G, G, 1, 1, 2, 1, 1, 2, T, 2, G, G, G, G, 1, 1, 1, G, G, G
1, 1, 1, G, G, G, G, 2, T, 2, G, G, G, G, 1, 1, 1, G, G, G
1, T, 1, G, G, G, G, 1, 1, 2, 1, 1, G, 1, 2, T, 2, 2, 2, 1
1, 1, 1, G, G, G, G, G, G, 2, T, 2, G, 1, T, 2, 2, T, T, 1
G, G, 1, 1, 1, G, G, G, G, 2, T, 2, G, 1, 1, 1, 1, 2, 2, 1
G, G, 1, T, 2, 1, 1, G, G, 1, 1, 1, G, G, 1, 1, 1, G, G, G
G, G, 1, 1, 2, T, 1, G, G, G, G, G, G, G, 1, T, 1, G, G, G
